"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.354081950E-1,-7.510471940E-1,-7.926224917E-2,1.112243748E1,1.114804780E1
6.378546530E-1,-7.606185079E-1,-8.644071966E-2,1.112004471E1,1.114636294E1
6.403019970E-1,-7.893323898E-1,-1.127617657E-1,1.112243748E1,1.115098096E1
6.427484030E-1,-7.893323898E-1,-1.007976532E-1,1.113918781E1,1.116757408E1
6.451940800E-1,-7.941179872E-1,-1.247258782E-1,1.113679504E1,1.116576839E1
6.476405390E-1,-8.108677864E-1,-1.319043487E-1,1.110808086E1,1.113841846E1
6.500878830E-1,-8.470591903E-1,-1.151545867E-1,1.105513954E1,1.108814142E1
6.525342890E-1,-8.901300430E-1,-1.319043487E-1,1.098814106E1,1.102492513E1
6.549799660E-1,-9.260223508E-1,-1.654038578E-1,1.090678501E1,1.094727524E1
6.574264240E-1,-1.012163997E0,-1.821536273E-1,1.081346416E1,1.086225866E1
6.598737680E-1,-1.036092162E0,-1.869392693E-1,1.071775150E1,1.076933752E1
6.623201740E-1,-1.110269666E0,-2.324029058E-1,1.059811020E1,1.065864202E1
6.647658510E-1,-1.174875975E0,-2.754737139E-1,1.048056316E1,1.054980680E1
6.672124140E-1,-1.268195987E0,-3.400799036E-1,1.033699417E1,1.042004913E1
6.696596530E-1,-1.311266780E0,-3.664009571E-1,1.021256733E1,1.030292200E1
6.721061120E-1,-1.287338614E0,-3.759722710E-1,1.008096218E1,1.016977848E1
6.745517890E-1,-1.265803218E0,-3.400799036E-1,9.958928108E0,1.004480767E1
6.769982470E-1,-1.220339537E0,-3.185445070E-1,9.841380119E0,9.921867860E0
6.794455910E-1,-1.213161111E0,-2.994019389E-1,9.719346046E0,9.799341252E0
6.818919970E-1,-1.198804140E0,-2.970091105E-1,9.587740898E0,9.666960293E0
6.843376740E-1,-1.210768223E0,-2.874378264E-1,9.499206543E0,9.580370825E0
6.867841330E-1,-1.194018483E0,-2.970091105E-1,9.427422523E0,9.507375557E0
6.892314760E-1,-1.148554921E0,-3.041875660E-1,9.364909172E0,9.439980523E0
6.916778830E-1,-1.134197950E0,-3.520440459E-1,9.338588715E0,9.413797277E0
6.941235600E-1,-1.122233868E0,-3.257229924E-1,9.355338097E0,9.428035597E0
6.965701220E-1,-1.095912814E0,-3.041875660E-1,9.357730865E0,9.426594397E0
6.990173620E-1,-1.138983607E0,-3.568296731E-1,9.343374252E0,9.419302176E0
7.014638200E-1,-1.153340459E0,-3.664009571E-1,9.333803177E0,9.411924650E0
7.039094970E-1,-1.167697430E0,-4.238287210E-1,9.410672188E0,9.492307364E0
7.063559550E-1,-1.112662554E0,-4.142574072E-1,9.465706825E0,9.539875935E0
7.088032990E-1,-1.055234790E0,-3.975076675E-1,9.568598747E0,9.634812650E0
7.112497050E-1,-9.978070259E-1,-3.520440459E-1,9.702596664E0,9.760119666E0
7.136953830E-1,-9.355936646E-1,-3.161516786E-1,9.829416275E0,9.878902353E0
7.161418410E-1,-8.781659007E-1,-2.778665423E-1,9.982855797E0,1.002525785E1
7.185891850E-1,-8.446664214E-1,-2.395813614E-1,1.006181908E1,1.010005266E1
7.210355910E-1,-8.324031830E-1,-2.347957194E-1,1.014796066E1,1.018474986E1
7.234812680E-1,-8.470591903E-1,-2.395813614E-1,1.023410225E1,1.027189161E1
